userId,testValues
359, 1.336766e+00 1.191171e+00 1.191171e+00 1.025641e+00 1.025641e+00
361, 1.666667e+00 1.666667e+00 0 0 0
364, 8.885634e-01 0 0 0 0
365, 1.843137e+00 1.571429e+00 1.371716e+00 1.222222e+00 1.174302e+00
374, 1.170732e+00 1.170732e+00 1.170732e+00 1.058824e+00 1.058824e+00
375, 1.428571e+00 0 0 0 0
376, 0 0 0 0 0
378, 1.336766e+00 1.250000e+00 1.250000e+00 1.025641e+00 1.025641e+00
379, 0 0 0 0 0
380, 1.568182e+00 1.500000e+00 1.500000e+00 1.485012e+00 1.395349e+00
383, 0 0 0 0 0
385, 0 0 0 0 0
388, 6.110495e-01 6.110495e-01 6.110495e-01 6.110495e-01 6.110495e-01
390, 9.889104e-01 9.230769e-01 9.230769e-01 9.230769e-01 9.230769e-01
393, 7.441860e-01 6.153846e-01 6.153846e-01 6.153846e-01 2.357569e-01
399, 1.333333e+00 1.170732e+00 1.098789e+00 1.098789e+00 1.000000e+00
401, 2.002194e+00 1.772803e+00 1.692984e+00 1.666667e+00 1.666667e+00
405, 1.098789e+00 1.098789e+00 0 0 0
412, 1.176471e+00 1.098789e+00 1.098789e+00 9.872926e-01 0
413, 1.463415e+00 1.285714e+00 1.285714e+00 1.250000e+00 1.098789e+00
415, 0 0 0 0 0
418, 8.790314e-01 7.726375e-01 0 0 0
431, 6.666667e-01 6.521739e-01 6.521739e-01 6.153846e-01 6.153846e-01
433, 1.445906e+00 1.359275e+00 1.274448e+00 1.058824e+00 1.000000e+00
441, 1.274448e+00 1.098789e+00 9.889104e-01 9.872926e-01 8.790314e-01
443, 1.166667e+00 1.024390e+00 8.750000e-01 8.333333e-01 7.691525e-01
445, 1.024390e+00 1.024390e+00 1.024390e+00 1.024390e+00 1.024390e+00
449, 1.098789e-01 0 0 0 0
456, 0 0 0 0 0
458, 1.250000e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
459, 8.836015e-01 0 0 0 0
463, 1.098789e+00 1.025641e+00 0 0 0
466, 0 0 0 0 0
477, 2.935100e+00 2.857143e+00 2.857143e+00 2.857143e+00 2.598721e+00
478, 1.379310e+00 9.872926e-01 0 0 0
481, 1.379310e+00 1.176471e+00 1.098789e+00 8.333333e-01 8.333333e-01
487, 1.176471e+00 1.098789e+00 1.098789e+00 1.025641e+00 4.364446e-01
488, 9.230769e-01 0 0 0 0
491, 1.476341e-01 1.341387e-01 1.176471e-01 0 0
494, 8.790314e-01 0 0 0 0
503, 1.098789e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
504, 0 0 0 0 0
508, 1.098789e-01 1.025641e-01 1.025641e-01 1.025641e-01 1.025641e-01
509, 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
510, 0 0 0 0 0
511, 6.153846e-01 6.153846e-01 6.153846e-01 6.153846e-01 0
516, 1.317073e+00 1.142857e+00 6.153846e-01 6.153846e-01 6.153846e-01
524, 7.179487e-01 7.179487e-01 7.179487e-01 7.179487e-01 4.936463e-01
527, 1.666667e+00 1.428571e+00 1.176471e+00 1.176471e+00 0
531, 0 0 0 0 0
532, 0 0 0 0 0
541, 9.230769e-01 0 0 0 0
542, 1.379310e+00 1.071429e+00 1.071429e+00 0 0
543, 0 0 0 0 0
549, 1.618213e+00 1.522727e+00 1.428571e+00 1.328707e+00 1.241379e+00
551, 1.666667e+00 1.336766e+00 1.025641e+00 1.025641e+00 0
559, 8.571429e-01 8.422561e-01 7.058824e-01 6.546669e-01 5.923756e-01
565, 8.888889e-01 8.888889e-01 6.592736e-01 5.923756e-01 2.352941e-01
568, 7.179487e-01 7.179487e-01 0 0 0
569, 1.170732e+00 1.166667e+00 1.166667e+00 1.098789e+00 1.025641e+00
572, 1.463415e+00 0 0 0 0
582, 7.898341e-01 0 0 0 0
589, 7.179487e-01 7.179487e-01 0 0 0
590, 1.000000e+00 8.020596e-01 6.153846e-01 6.153846e-01 0
592, 9.872926e-02 9.872926e-02 0 0 0
595, 7.637781e-01 0 0 0 0
599, 1.328707e+00 1.203089e+00 1.173913e+00 1.173913e+00 1.064640e+00
600, 1.072054e+00 1.041953e+00 9.316525e-01 9.316525e-01 9.316525e-01
603, 9.430276e-01 9.430276e-01 8.888889e-01 8.888889e-01 8.888889e-01
605, 1.333333e+00 1.170732e+00 1.000000e+00 8.790314e-01 8.333333e-01
606, 1.098789e+00 1.098789e+00 1.071429e+00 8.338198e-01 6.153846e-01
615, 9.872926e-01 0 0 0 0
616, 1.274448e+00 0 0 0 0
617, 1.674419e+00 1.125000e+00 9.889104e-01 9.889104e-01 9.411765e-01
621, 1.098789e+00 0 0 0 0
632, 5.097794e-01 0 0 0 0
643, 1.098789e+00 1.025641e+00 0 0 0
646, 1.098789e-01 1.025641e-01 1.025641e-01 0 0
651, 9.872926e-01 0 0 0 0
652, 1.012134e+00 7.691525e-01 7.179487e-01 6.911048e-01 6.911048e-01
653, 1.000000e+00 8.672954e-01 5.493947e-01 5.128205e-01 3.913043e-01
654, 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01
658, 9.657969e-01 0 0 0 0
659, 9.230769e-01 0 0 0 0
663, 1.822222e+00 1.659091e+00 1.500000e+00 1.500000e+00 1.317073e+00
665, 2.197579e-01 2.051282e-01 2.051282e-01 2.051282e-01 0
673, 0 0 0 0 0
675, 1.618099e+00 1.465808e+00 1.408938e+00 1.330881e+00 1.323022e+00
680, 1.666667e+00 1.666667e+00 7.691525e-01 5.128205e-01 5.128205e-01
681, 1.476341e+00 1.304348e+00 1.304348e+00 1.182934e+00 1.182934e+00
684, 1.727963e+00 1.555556e+00 1.466667e+00 1.386364e+00 1.317073e+00
691, 1.072054e+00 9.889104e-01 9.230769e-01 9.230769e-01 9.230769e-01
696, 0 0 0 0 0
700, 1.436813e+00 1.250000e+00 1.098789e+00 1.060906e+00 1.025641e+00
705, 1.019559e+00 8.333333e-01 5.493947e-01 5.128205e-01 4.444444e-01
706, 0 0 0 0 0
710, 0 0 0 0 0
712, 1.666667e+00 1.428571e+00 1.176471e+00 1.176471e+00 1.170732e+00
713, 1.463415e+00 1.250000e+00 1.250000e+00 1.250000e+00 1.250000e+00
715, 0 0 0 0 0
717, 9.463469e-01 8.205128e-01 8.205128e-01 7.691525e-01 0
722, 8.780488e-01 7.691525e-01 6.592736e-01 6.592736e-01 0
725, 0 0 0 0 0
729, 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00
733, 8.790314e-01 8.205128e-01 8.205128e-01 8.205128e-01 8.205128e-01
739, 9.230769e-01 9.230769e-01 7.500000e-01 6.592736e-01 6.592736e-01
741, 1.666667e+00 1.463415e+00 1.463415e+00 1.463415e+00 1.428571e+00
744, 0 0 0 0 0
747, 1.024390e+00 8.750000e-01 8.750000e-01 7.691525e-01 7.179487e-01
750, 1.025641e+00 8.205128e-01 8.205128e-01 0 0
757, 8.205128e-01 8.205128e-01 8.205128e-01 0 0
759, 1.098789e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
761, 8.750000e-01 7.179487e-01 7.179487e-01 6.760579e-01 0
773, 1.379310e+00 1.379310e+00 1.328707e+00 1.274448e+00 1.191171e+00
777, 2.051282e-01 2.051282e-01 0 0 0
780, 1.313305e+00 1.170732e+00 1.115094e+00 1.098789e+00 1.010589e+00
782, 1.176471e+00 1.176471e+00 9.872926e-01 1.111111e-01 1.111111e-01
784, 6.592736e-01 0 0 0 0
787, 1.463415e+00 1.463415e+00 1.463415e+00 1.463415e+00 1.463415e+00
788, 0 0 0 0 0
789, 7.147026e-01 6.153846e-01 5.794782e-01 0 0
791, 1.123008e+00 1.033439e+00 9.411765e-01 9.411765e-01 9.230769e-01
792, 1.182934e+00 1.182934e+00 1.182934e+00 1.182934e+00 1.018416e+00
796, 1.191171e+00 1.025641e+00 1.025641e+00 0 0
801, 1.500000e+00 1.181073e+00 1.181073e+00 1.115094e+00 1.043478e+00
806, 1.176471e+00 8.205128e-01 0 0 0
808, 1.379310e+00 1.091112e+00 9.872926e-01 9.872926e-01 9.872926e-01
810, 1.098789e+00 0 0 0 0
813, 1.328707e+00 1.203089e+00 1.173913e+00 1.098789e+00 1.098789e+00
816, 1.086375e+00 1.086375e+00 1.009546e+00 1.009546e+00 9.826321e-01
820, 1.666667e+00 1.666667e+00 1.666667e+00 1.666667e+00 1.666667e+00
826, 1.176471e+00 1.071429e+00 0 0 0
827, 1.638531e+00 1.555556e+00 1.000000e+00 1 1.000000e+00
828, 1.176471e+00 1.176471e+00 1.073109e+00 1.073109e+00 1.035169e+00
831, 2.065217e+00 1.888889e+00 1.859737e+00 1.727273e+00 1.581395e+00
833, 4.102564e-01 4.102564e-01 1.666667e-01 1.666667e-01 1.666667e-01
834, 1.209302e+00 1.209302e+00 1.191171e+00 1.098789e+00 1.098789e+00
835, 0 0 0 0 0
839, 1.428571e+00 1.103448e+00 1.098789e+00 1.025641e+00 9.872926e-01
850, 9.872926e-01 9.872926e-01 8.790314e-01 8.205128e-01 8.205128e-01
852, 2.220731e+00 2.119213e+00 1.769310e+00 1.669207e+00 1.562176e+00
853, 8.338198e-01 7.898341e-01 6.760579e-01 0 0
854, 1.500000e+00 1.406114e+00 1.285714e+00 1.285714e+00 1.147004e+00
857, 8.750000e-01 0 0 0 0
862, 2.191489e+00 2.191489e+00 2.170213e+00 2.043478e+00 2.043478e+00
867, 1.463415e+00 1.463415e+00 1.025641e+00 1.025641e+00 1.025641e+00
869, 0 0 0 0 0
873, 7.179487e-01 7.179487e-01 6.911048e-01 0 0
874, 0 0 0 0 0
879, 8.251492e-01 7.179487e-01 7.179487e-01 7.179487e-01 7.179487e-01
883, 0 0 0 0 0
884, 0 0 0 0 0
886, 1.000000e+00 1.000000e+00 0 0 0
888, 1.428571e+00 1.333333e+00 1.238993e+00 1.238993e+00 1.191171e+00
890, 1.328707e+00 1.328707e+00 1.328707e+00 1.328707e+00 1.173913e+00
899, 1.191171e-01 1.191171e-01 1.191171e-01 1.182934e-01 1.071429e-01
900, 1.500000e+00 1.336766e+00 1.285714e+00 1.238993e+00 1.098789e+00
905, 8.780488e-01 0 0 0 0
907, 1.304348e+00 1.091112e+00 6.153846e-01 1.274448e-01 9.872926e-02
908, 1.181073e+00 1.181073e+00 1.115094e+00 1.073109e+00 1.072054e+00
909, 1.476341e+00 1.476341e+00 1.304348e+00 1.304348e+00 1.304348e+00
916, 3.076923e-01 3.076923e-01 0 0 0
919, 1.098789e+00 9.872926e-01 0 0 0
926, 1.328707e+00 1.122877e+00 0 0 0
927, 1.463415e+00 1.395349e+00 1.336766e+00 1.250000e+00 1.191171e+00
929, 1.098789e+00 9.872926e-01 3.076923e-01 2.897391e-01 0
937, 9.230769e-01 9.230769e-01 9.230769e-01 5.853659e-01 5.853659e-01
942, 9.872926e-01 2.245754e-01 2.245754e-01 1.974585e-01 0
944, 1.476341e+00 1.304348e+00 1.182934e+00 1.091112e+00 1.091112e+00
946, 1.250000e-01 1.018416e-01 1.018416e-01 0 0
947, 1.389484e+00 0 0 0 0
949, 0 0 0 0 0
956, 1.365670e+00 7.691525e-01 7.179487e-01 7.179487e-01 6.760579e-01
958, 0 0 0 0 0
961, 7.691525e-01 0 0 0 0
968, 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00 8.571429e-01
969, 1.098789e+00 1.098789e+00 1.025641e+00 1.025641e+00 1.025641e+00
972, 0 0 0 0 0
977, 5.615040e-01 5.615040e-01 5.615040e-01 5.615040e-01 5.615040e-01
978, 1.125000e+00 9.889104e-01 9.230769e-01 9.230769e-01 7.179487e-01
979, 1.463415e+00 1.463415e+00 8.205128e-01 8.205128e-01 0
982, 1.025641e+00 1.025641e-01 1.025641e-01 0 0
983, 1.025641e+00 1.025641e+00 9.642857e-01 0 0
987, 0 0 0 0 0
990, 2.492817e+00 2.487558e+00 2.348279e+00 2.337068e+00 2.028981e+00
1005, 1.191171e+00 1.191171e+00 0 0 0
1010, 1.025641e+00 1.025641e+00 1.025641e+00 8.921139e-01 3.076923e-01
1011, 1.098789e+00 8.333333e-01 8.333333e-01 7.317073e-01 7.317073e-01
1014, 1.463415e+00 1.463415e+00 1.463415e+00 1.463415e+00 1.463415e+00
1016, 0 0 0 0 0
1017, 1.379310e+00 1.071429e+00 0 0 0
1033, 7.317073e-01 7.317073e-01 7.179487e-01 7.179487e-01 6.683830e-01
1043, 0 0 0 0 0
1044, 1.181073e+00 1.181073e+00 1.043478e+00 1.043478e+00 1.043478e+00
1046, 0 0 0 0 0
1055, 1.000000e+00 1.000000e+00 9.230769e-01 8.205128e-01 8.205128e-01
1060, 1.336766e+00 1.336766e+00 1.336766e+00 1.336766e+00 1.176471e+00
1061, 9.463469e-01 8.728892e-01 7.179487e-01 6.546669e-01 1.025641e-01
1067, 1.666667e+00 1.594709e+00 1.476341e+00 1.403760e+00 1.403760e+00
1068, 0 0 0 0 0
1076, 1.304348e-01 1.182934e-01 1.091112e-01 1.091112e-01 1.025641e-01
1077, 1 8.235294e-01 8.235294e-01 8.205128e-01 8.205128e-01
1084, 1.666667e+00 1.666667e+00 1.666667e+00 1.091112e+00 4.764684e-01
1097, 1.025641e+00 1.025641e+00 1.010589e+00 1.010589e+00 9.872926e-01
1102, 0 0 0 0 0
1107, 1.403760e-01 1.403760e-01 1.250000e-01 1.176471e-01 1.176471e-01
1110, 1.025641e+00 0 0 0 0
1112, 2.352941e-01 9.872926e-02 0 0 0
1113, 1.543871e+00 1.428571e+00 1.274448e+00 1.250000e+00 1.250000e+00
1114, 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00
1117, 7.179487e-01 7.179487e-01 7.179487e-01 7.179487e-01 6.153846e-01
1118, 1.674419e+00 1.421906e+00 1.333333e+00 1.302326e+00 1.069413e+00
1121, 1.000000e+00 1.000000e+00 8.205128e-01 8.205128e-01 8.205128e-01
1122, 0 0 0 0 0
1128, 7.691525e-01 7.179487e-01 6.911048e-01 0 0
1135, 0 0 0 0 0
1136, 1.025641e+00 0 0 0 0
1137, 1.500000e+00 1.500000e+00 1.499370e+00 1.463415e+00 1.463415e+00
1144, 0 0 0 0 0
1145, 9.529369e-01 0 0 0 0
1146, 9.230769e-01 7.898341e-01 7.898341e-01 0 0
1148, 1.166667e+00 9.357362e-01 7.179487e-01 7.179487e-01 7.179487e-01
1151, 1.147004e+00 1.098789e+00 9.230769e-01 1.098789e-01 9.872926e-02
1152, 2.018779e+00 1.875000e+00 1.875000e+00 1.787234e+00 1.787234e+00
1157, 5.128205e-01 0 0 0 0
1159, 1.304348e+00 1.250000e+00 9.872926e-01 9.357362e-01 8.790314e-01
1161, 1.960686e+00 1.783373e+00 1.783373e+00 1.783373e+00 1.783373e+00
1163, 0 0 0 0 0
1165, 1.534236e+00 1.517412e+00 1.428571e+00 1.428571e+00 1.302326e+00
1173, 1.476341e+00 1.476341e+00 1.304348e+00 1.304348e+00 1.182934e+00
1175, 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.000000e+00
1177, 1.025641e+00 1.025641e+00 0 0 0
1178, 1.463415e+00 1.250000e+00 8.790314e-01 0 0
1180, 5.493947e-01 5.493947e-01 5.128205e-01 5.128205e-01 5.128205e-01
1181, 1.500000e+00 1.203089e+00 9.230769e-01 9.230769e-01 0
1184, 4.936463e-01 0 0 0 0
1189, 0 0 0 0 0
1190, 1.098789e+00 1.025641e+00 1.025641e+00 1.025641e+00 9.889104e-01
1193, 1.449891e+00 1.395349e+00 1.363702e+00 1.312915e+00 1.250000e+00
1201, 1.064640e+00 1.064640e+00 1.064640e+00 9.642857e-01 9.642857e-01
1204, 1.444211e+00 8.790314e-01 8.790314e-01 7.691525e-01 7.179487e-01
1205, 1.304348e+00 8.728892e-01 8.728892e-01 8.728892e-01 7.898341e-01
1218, 9.889104e-01 9.230769e-01 9.230769e-01 8.205128e-01 7.317073e-01
1222, 0 0 0 0 0
1224, 0 0 0 0 0
1229, 4.395157e-01 4.102564e-01 4.102564e-01 4.102564e-01 4.102564e-01
1233, 9.872926e-01 7.898341e-01 0 0 0
1235, 8.338198e-01 8.338198e-01 0 0 0
1236, 3.223797e+00 2.703111e+00 2.190451e+00 2.187500e+00 2.120649e+00
1238, 1.098789e+00 1.025641e+00 0 0 0
1240, 1.333333e+00 1.241379e+00 1.235097e+00 1.235097e+00 1.207248e+00
1249, 2.051282e-01 0 0 0 0
1256, 0 0 0 0 0
1263, 1.333333e+00 1.098789e+00 1.093645e+00 9.872926e-01 9.411765e-01
1264, 1.379310e+00 1.274448e+00 0 0 0
1279, 1.000000e+00 9.374096e-01 9.316525e-01 8.790314e-01 8.205128e-01
1280, 7.433961e-01 7.433961e-01 0 0 0
1282, 1.328707e+00 1.182934e+00 1.072054e+00 1.072054e+00 9.889104e-01
1289, 9.872926e-01 9.872926e-01 9.529369e-01 8.790314e-01 8.205128e-01
1291, 1.541583e+00 1.500000e+00 1.500000e+00 1.500000e+00 1.500000e+00
1292, 0 0 0 0 0
1297, 1.125000e+00 9.889104e-01 9.411765e-01 9.230769e-01 9.230769e-01
1298, 0 0 0 0 0
1314, 9.820004e-01 0 0 0 0
1316, 0 0 0 0 0
1322, 1.071429e+00 9.872926e-01 0 0 0
1327, 1.328707e+00 1.173913e+00 1.064640e+00 1.064640e+00 9.165743e-01
1333, 1.328707e+00 1.328707e+00 1.328707e+00 1.328707e+00 1.328707e+00
1334, 1.317073e+00 1.317073e+00 1.317073e+00 1.317073e+00 1.317073e+00
1335, 7.691525e-01 6.911048e-01 6.592736e-01 6.153846e-01 6.153846e-01
1336, 7.860140e-01 7.637781e-01 7.637781e-01 7.058824e-01 7.058824e-01
1343, 8.280535e-01 8.280535e-01 8.280535e-01 7.500000e-01 6.911048e-01
1345, 1.317073e+00 1.191171e+00 1.182934e+00 1.182934e+00 1.182934e+00
1346, 1.333333e+00 1.069413e+00 8.205128e-01 8.205128e-01 0
1348, 1.317073e+00 1.317073e+00 9.230769e-01 9.230769e-01 9.230769e-01
1356, 4.429023e-01 0 0 0 0
1361, 1.012134e+00 9.130435e-01 8.921139e-01 8.338198e-01 8.333333e-01
1365, 9.529369e-01 9.529369e-01 8.790314e-01 8.790314e-01 8.790314e-01
1373, 9.889104e-01 9.230769e-01 8.692172e-01 8.692172e-01 8.692172e-01
1378, 1.025641e+00 0 0 0 0
1379, 0 0 0 0 0
1387, 1.981817e+00 1.522727e+00 1.522727e+00 1.431818e+00 1.431818e+00
1391, 1.025641e+00 9.165743e-01 8.281356e-01 7.691525e-01 7.691525e-01
1405, 1.098789e+00 1.098789e+00 1.098789e+00 1.025641e+00 1.025641e+00
1406, 1.170732e+00 0 0 0 0
1408, 1.098789e+00 1.098789e+00 0 0 0
1416, 1.191171e-01 1.091112e-01 1.025641e-01 1.025641e-01 1.025641e-01
1417, 1.178785e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
1418, 1.025641e+00 0 0 0 0
1420, 1 8.205128e-01 8.205128e-01 8.205128e-01 8.205128e-01
1423, 0 0 0 0 0
1426, 1.058824e+00 9.642857e-01 8.885634e-01 8.858046e-01 8.790314e-01
1428, 0 0 0 0 0
1431, 1.875345e+00 1.857779e+00 1.850948e+00 1.764444e+00 1.682694e+00
1433, 1.142857e+00 6.153846e-01 0 0 0
1436, 1.125000e+00 9.889104e-01 9.230769e-01 0 0
1438, 1.463415e+00 9.889104e-01 9.889104e-01 9.889104e-01 9.889104e-01
1444, 2.049898e+00 2.037577e+00 1.882016e+00 1.882016e+00 1.866942e+00
1445, 5.882353e-01 5.882353e-01 0 0 0
1447, 2.142857e-01 0 0 0 0
1452, 1.728615e+00 9.889104e-01 9.230769e-01 9.230769e-01 9.230769e-01
1453, 9.165743e-01 7.179487e-01 7.179487e-01 7.179487e-01 7.179487e-01
1463, 1.111111e+00 9.657969e-01 9.657969e-01 7.691525e-01 3.076923e-01
1470, 8.921139e-01 7.637781e-01 0 0 0
1473, 8.333333e-01 8.333333e-01 8.333333e-01 8.333333e-01 8.333333e-01
1474, 8.858046e-01 8.858046e-01 8.858046e-01 8.858046e-01 8.858046e-01
1476, 1.072054e+00 1.064640e+00 1.064640e+00 1.064640e+00 1.064640e+00
1481, 2.857143e+00 2.553191e+00 2.553191e+00 2.553191e+00 2.553191e+00
1484, 0 0 0 0 0
1486, 2.470585e+00 2.212833e+00 1.182934e+00 1.018416e+00 1.000000e+00
1487, 1.170732e+00 1.170732e+00 1.170732e+00 1.170732e+00 1.170732e+00
1493, 2.182223e-01 2.070339e-01 0 0 0
1501, 9.411765e-01 8.728892e-01 8.728892e-01 8.571429e-01 7.898341e-01
1502, 6.592736e-01 6.592736e-01 6.592736e-01 5.923756e-01 0
1503, 4.102564e-01 4.102564e-01 0 0 0
